Liked,Review,,
Poor,"Bad smell coming from cheese, worst pizza ever. The service was below average too. Served pizza after 45 minutes. ",,
Poor,"Terrible customer service. I came in at 9:30pm and stood in front of the cash counter and no one bothered to say anything or help me for 5 minutes. There was no one else waiting for their food inside either, just outside at the window. I left and went to Grind house next door and was greeted before I was all the way inside. This tables were also dirty.",,
Poor,"First they ""lost"" my order, actually they gave it to someone one else who came after me, than took 30 minutes to figure out why I was still waiting for my order.They after I was asked what I needed I replied, ""my order""",,
Poor,You can see in the picture why I'm not the only one giving 1 star. Only because there is not a -25 Star!!! That's all I need to say! Wastage of money and food,,
Poor,"i with my university friends went there on a picnic but the scenerio was very bad.The food were not even cooked well.There was lack of salt in almost every item.Though it was a buffet lunch but we could not even taste a simple item perfectly.Moreover their service was not even good.#Total_wastage.Well, it's McDonald's, so you know what the food is. ξThis review reflects solely on the poor service. ξI have been to this location countless times over the years. ξThey consistently fail on the service end of things. ξThe order takers tend to be rude, no smiles, and a lot of ""sighs"" and ""lip smacking"" when you talk to them. ξSo why go back you ask? This store benefits from being the only place to eat in this area. ξThe next stop is at least 12 minutes away on the other side of town. ξAlso I strongly believe in 2nd chances and know that not every business can satisfy everyone 100% of the time. ξI have given them many chances at earning a positive review. ξI could not recommend this location any less. ξIf you can wait, take a pass. ξThere are better McDonald's stores in Griffin, GA.",,
Poor,They took a lot of time to serve food & finally when they started serving the drinks the waiter dropped two glasses of coke on the table and on my brother in law's shoulder who was our guest !!! I know this was unintentional but we were so embarrassed !,,
Poor,Probably the worst food i ever tried. Slowest service as well. Food might looks good but tastes aweful. I don't know why on earth people gave good review about their food. After seeing good reviews in foodbank we went there but it was a total loss.,,
Poor,"The food was an average; not good nor bad either. But u need a good place to swallow ; a comfortable zone....which they lacked the most. In terms of service, it was 'POOR' and SLOW. They served drinks when I was already done with half of my meal!!! Even my meal was served just a minute before the azan",,
Poor,"Taste was yaaak, The worst food I had ever in my life!! Don't try to taste it at all ! Also their behavior was not upto the mark, made us wait for food atleast 40 minutes",,
Poor,"Worse Food serving experience found Jamuna Future Park Indian Spicy , maximum restaurants are very inferior there!",,
Satisfactory,"The service is always friendly. Food is normally fresh and well cooked. My niece liked the chicken cheese burger the most, I wish to try food here on a daily basis.",,
Poor,This place is pretty slow. The food is usually cold.. and the service....yeah. you guessed it. Poor. Not coming here again,,
Poor,25 minutes and still waiting for a sprite. Slowest service ever! Don�t recommend to come here,,
Poor,"SLOWEST service ever Don't go here if you have a flight to catch...or a life to live!!!!! If ou're hungry, This particular branch of al fresco is just not worth your time.",,
Satisfactory,"Good food, Good music, The burger was very juicy and the music was soothig too, I would give 9/10.",,
Poor,This is the worst place I have ever seen. The service was terrible and the employees were either lazy or incompetent. I will never return to this establishment.,,
Poor,"I had the pasta basta and must say that it was better than eating sand and salt water, that's about it.Too sweet and I couldn't even taste the coffee over the other weird flavors going on in this drink. Worst food ever",,
Satisfactory,"The pasta was well baked, lots of chicken and cheesee, we also got complimentary drinks. The offer made the price so cheap.",,
Poor,The waiter did not come to receive the order after sitting for 20 minutes. Then came and misbehaved with us when talked about it. The manager also didn�t apologized. Not coming here again.,,
Poor,"The food is also very inconsistent. Usually the reviews are good, but the food was completely opposite, wasn�t upto the expectation. Worst place ever.",,
Poor,What a joke.Don't do take out as you will not get anything that you ordered. We prefers and paid for items only to get home with 50% of the order accurate. I've been there numerous times and sadly the same thing happens. It's my fault because I should learn.Does anyone know the owner?I can't believe that he would like this comment.,,
Poor,I wish I can give zero stars. Freezing cold reheated soggy fries and twice fried chewy nuggets = straight to my trash can.,,
Poor,"I agree with most reviewers on this one. Staff is always rude and annoyed that you're there!! Always have to wait while they brew coffee, WTH!!",,
